StudyCode,orien1,orien2,orien3,orien4,orien5,orien6
PS13_004,NaN,NaN,NaN,NaN,NaN,NaN
PS14_001,0.99811,0,0.061385,-0.029502,0.87694,0.4797
PS14_003,0.99733,-0.0018256,0.07293,-0.0006221,0.99944,0.033525
PS14_005,0.99179,-0.12753,-0.009174,0.1258,0.96044,0.24845
PS14_006,1,0,0,0,0.99655,-0.082946
PS14_009,0.99916,-0.040613,0.0053421,0.037705,0.96282,0.26751
PS14_014,0.99508,0,0.099033,-0.0010574,0.99994,0.010625
PS14_017,1,0,0,0,0.99132,0.13148
PS14_018,1,0,0,0,0.98521,0.17134
PS14_021,0.98335,-0.085018,-0.16064,0.10698,0.98527,0.13341
PS14_028,0.99708,-0.049924,-0.05776,0.063632,0.96148,0.26741
PS14_020,0.99888,0.047382,0,-0.046118,0.97223,0.22942
PS14_022,0.99754,-0.026603,-0.064912,0.041891,0.96811,0.247
PS14_046,0.98996,-0.13287,0.048207,0.12287,0.97753,0.17127
PS14_041,0.98856,0.041257,-0.14508,-0.030198,0.99652,0.077623
PS14_039,0.99883,-0.036277,0.03187,0.028614,0.9763,0.21451
PS14_019,0.99996,0,0.0094324,-0.0025005,0.96422,0.26508
PS14_051,0.99837,0,0.057025,-0.010857,0.98171,0.19008
PS14_047,0.9996,-0.019283,-0.02078,0.023245,0.97711,0.21148
PS14_015,0.98961,-0.12266,0.074973,0.11441,0.98778,0.10584
PS14_045,0.99234,-0.040783,0.11658,0.044879,0.99846,-0.032731
PS14_050,0.99833,0.047439,0.033124,-0.055956,0.93723,0.3442
PS14_043,0.99578,-0.045326,0.079803,0.040152,0.99706,0.065287
PS14_042,0.99636,-0.065666,0.054262,0.06573,0.99784,0.0006113
PS14_026,0.99127,0.060148,-0.11736,-0.058625,0.99815,0.016387
PS14_053,0.99867,0.050926,-0.0076199,-0.042469,0.89827,0.43739
PS14_060,0.99912,-0.0016268,-0.041852,0.002203,0.9999,0.013725
PS14_057,0.99996,0,-0.0088007,-0.0011091,0.99203,-0.12602
PS14_036,0.9943,-0.0094439,-0.1062,0.03928,0.95846,0.28252
PS14_070,0.98548,-0.13103,-0.10795,0.13904,0.98778,0.070396
PS14_056,0.99792,-0.0098521,-0.063749,0.021403,0.98286,0.18313
PS14_066,0.99729,0.0084455,0.073079,-0.010929,0.99937,0.033646
PS14_068,0.99633,-0.076223,0.038915,0.064064,0.96576,0.25141
PS14_065,0.99239,0.0091835,-0.12278,0.011655,0.98573,0.16792
PS14_058,0.99951,0.029905,-0.0094937,-0.028046,0.98721,0.15696
PS14_072,0.99843,0.048264,-0.028277,-0.05046,0.99528,-0.082913
PS14_086,0.99447,-0.030956,-0.10036,0.044437,0.98985,0.13501
PS14_091,0.99369,-0.0097562,-0.11175,0.020952,0.99482,0.099451
PS14_090,0.99775,0.0042208,0.066943,-0.0063492,0.99948,0.031613
PS14_092,1,0,0,0,0.9717,0.2362
PS14_104,0.99854,0.04485,-0.030158,-0.042597,0.99652,0.071618
